index;baseKv;Vm;Va;Pd;Qd;type;c;deletable
1;115;1.0284;90;49;5.95;1;570;1
2;115;1.0354;56;15;7.74;1;1225;1
3;230;0.9971;20;0;6.64;1;7085;1
4;345;1.0308;0;0;4.71;1;7165;1
5;115;1.0191;353;130;4.68;1;440;1
6;115;1.0312;120;41;6.99;1;375;1
7;230;0.9934;0;0;6.19;1;2790;1
8;115;1.0153;63;14;2.4;2;1820;1
9;115;1.0034;96;43;2.85;1;270;1
10;230;1.0205;153;33;1.35;2;115;1
11;115;1.0057;83;21;2.46;1;625;1
12;230;0.9974;0;0;5.21;1;590;1
13;115;0.9977;58;10;-0.55;1;75;1
14;115;0.9991;160;60;-4.81;1;1880;1
15;115;1.0343;126.7;23;-8.59;1;2885;1
16;345;1.0315;0;0;-2.65;1;6390;1
17;115;1.0649;561;220;-13.1;1;390;1
19;230;0.982;0;0;1.08;1;1200;1
20;115;1.001;605;120;-2.46;2;235;1
21;230;0.9752;77;1;1.62;1;980;1
22;115;0.9963;81;23;-1.97;1;145;1
23;115;1.0501;21;7;3.94;1;215;1
24;230;1.0057;0;0;6.02;1;540;1
25;115;1.0234;45;12;1.44;1;65;1
26;115;0.9986;28;9;-1.73;1;70;1
27;115;0.975;69;13;-4.9;1;60;1
33;115;1.0244;55;6;-12.02;1;2820;1
34;345;1.0414;0;0;-7.94;1;2535;1
35;115;0.9757;0;0;-25.72;1;300;1
36;230;1.0011;0;0;-22.59;1;80;1
37;115;1.0201;85;32;-11.23;1;9835;1
38;115;1.0202;155;18;-12.56;1;2705;1
39;345;1.0535;0;0;-5.81;1;610;1
40;115;1.0216;46;-21;-12.78;1;1350;1
41;115;1.0292;86;0;-10.45;1;9910;1
42;345;1.0448;0;0;-7.44;1;10590;1
43;115;1.0006;39;9;-16.79;1;1725;1
44;115;1.0086;195;29;-17.47;1;2595;1
45;230;1.0215;0;0;-14.74;1;2765;1
46;345;1.0344;0;0;-11.75;1;4090;1
47;115;0.9777;58;11.8;-23.17;1;505;1
48;115;1.0019;41;19;-16.09;1;905;1
49;115;1.0475;92;26;-2.95;1;19965;0
51;115;1.0253;-5;5;-8.15;1;5810;1
52;115;0.9979;61;28;-11.86;1;2145;1
53;115;0.9959;69;3;-17.6;1;180;1
54;115;1.005;10;1;-16.25;1;955;1
55;115;1.015;22;10;-12.21;1;2085;1
57;115;1.0335;98;20;-8;1;1280;1
58;115;0.9918;14;1;-5.99;1;955;1
59;115;0.9789;218;106;-5.29;1;990;1
60;230;1.0246;0;0;-9.56;1;1625;1
61;115;0.9906;227;110;-3.47;1;1215;1
62;230;1.016;0;0;-1.1;1;2545;1
63;115;0.9583;70;30;-17.62;2;255;1
64;230;0.948;0;0;-12.97;1;205;1
69;115;0.963;0;0;-25.66;1;205;1
70;115;0.9513;56;20;-35.16;1;30;1
71;115;0.9793;116;38;-29.88;1;205;1
72;115;0.9696;57;19;-27.48;1;90;1
73;115;0.9775;224;71;-25.77;1;995;1
74;230;0.9964;0;0;-22;1;1385;1
76;115;0.9632;208;107;-26.54;2;450;1
77;115;0.9837;74;28;-24.94;1;615;1
78;115;0.99;0;0;-24.05;1;420;1
79;115;0.982;48;14;-24.97;1;520;1
80;115;0.9872;28;7;-24.97;1;400;1
81;345;1.034;0;0;-18.89;1;4045;1
84;115;1.025;37;13;-17.16;2;5;1
85;230;0.9872;0;0;-17.68;1;345;1
86;230;0.9909;0;0;-14.19;1;705;1
87;230;0.9921;0;0;-7.77;1;1175;1
88;230;1.0151;0;0;-20.96;1;995;1
89;115;1.0317;44.2;0;-11.13;1;1065;1
90;115;1.0272;66;0;-11.23;1;1280;1
91;115;1.052;17.4;0;-9.4;2;480;1
92;115;1.052;15.8;0;-6.2;2;335;1
94;115;0.993;60.3;0;-9.42;1;550;1
97;115;1.0183;39.9;0;-13.24;1;525;1
98;115;1;66.7;0;-14.6;2;5;1
99;115;0.9894;83.5;0;-20.27;1;640;1
100;115;1.006;0;0;-14.45;1;205;1
102;115;1.0008;77.8;0;-15.23;1;360;1
103;115;1.0288;32;0;-12.06;1;415;1
104;115;0.9958;8.6;0;-17.33;1;100;1
