busIndex;Pg;Qg;Vg;Pmin;Pmax;Qmin;Qmax
8;0;0;1.0153;0;100;10;-10
10;0;0;1.0205;0;100;20;-20
20;0;0;1.001;0;100;20;-20
63;0;0;0.9583;0;100;25;-25
76;0;0;0.9632;0;100;35;12
84;375;0;1.025;0;475;240;-240
91;155;0;1.052;0;255;96;-11
92;290;0;1.052;0;390;153;-153
98;68;0;1;0;168;56;-30
108;117;0;0.99;0;217;77;-24
119;1930;0;1.0435;0;2030;1500;-500
124;240;0;1.0233;0;340;120;-60
125;0;0;1.0103;0;100;200;-25
138;0;0;1.055;0;100;350;-125
141;281;0;1.051;0;381;75;-50
143;696;0;1.0435;0;796;300;-100
146;84;0;1.0528;0;184;35;-15
147;217;0;1.0528;0;317;100;-50
149;103;0;1.0735;0;203;50;-25
152;372;0;1.0535;0;472;175;-50
153;216;0;1.0435;0;316;90;-50
156;0;0;0.963;0;100;15;-10
170;205;0;0.929;0;305;90;-40
171;0;0;0.9829;0;100;150;-50
176;228;0;1.0522;0;328;90;-45
177;84;0;1.0077;0;184;35;-15
185;200;0;1.0522;0;300;80;-50
186;1200;0;1.065;0;1300;400;-100
187;1200;0;1.065;0;1300;400;-100
190;475;0;1.0551;0;575;300;-300
191;1973;0;1.0435;0;2073;1000;-1000
198;424;0;1.015;0;524;260;-260
213;272;0;1.01;0;372;150;-150
220;100;0;1.008;0;200;60;-60
221;450;0;1;0;550;320;-320
222;250;0;1.05;0;350;300;-300
227;303;0;1;0;403;300;-300
230;345;0;1.04;0;445;250;-250
233;300;0;1;0;400;500;-500
236;600;0;1.0165;0;700;300;-300
238;250;0;1.01;0;350;200;-200
239;550;0;1;0;650;400;-400
241;575.43;0;1.05;0;675.43;600;-600
242;170;0;0.993;0;270;100;40
243;84;0;1.01;0;184;80;40
7001;467;0;1.0507;0;567;210;-210
7002;623;0;1.0507;0;723;280;-280
7003;1210;0;1.0323;0;1310;420;-420
7011;234;0;1.0145;0;334;100;-100
7012;372;0;1.0507;0;472;224;-224
7017;330;0;1.0507;0;430;350;0
7023;185;0;1.0507;0;285;120;0
7024;410;0;1.029;0;510;224;-224
7039;500;0;1.05;0;600;200;-200
7044;37;0;1.0145;0;137;42;0
7049;0;0;1.0507;0;2399.01;10;0
7055;45;0;0.9967;0;145;25;0
7057;165;0;1.0212;0;265;90;-90
7061;400;0;1.0145;0;500;150;-150
7062;400;0;1.0017;0;500;150;0
7071;116;0;0.9893;0;216;87;0
7130;1292;0;1.0507;0;1392;600;-100
7139;700;0;1.0507;0;800;325;-125
7166;553;0;1.0145;0;653;300;-200
9002;0;0;0.9945;0;100;2;-2
9051;0;0;1;0;100;17.35;-17.35
9053;0;0;1;0;100;12.83;-12.8
9054;50;0;1;0;150;38;-38
9055;8;0;1;0;108;6;-6
