fromBus;toBus;r;x;b;c;deletable
37;9001;6.00E-05;0.00046;0;30;1
9001;9005;0.0008;0.00348;0;40;1
9001;9006;0.02439;0.43682;0;15;1
9001;9012;0.03624;0.64898;0;5;1
9005;9051;0.01578;0.37486;0;5;1
9005;9052;0.01578;0.37486;0;30;1
9005;9053;0.01602;0.38046;0;5;1
9005;9054;0;0.152;0;60;1
9005;9055;0;0.8;0;10;1
9006;9007;0.05558;0.24666;0;5;1
9006;9003;0.11118;0.49332;0;5;1
9006;9003;0.11118;0.49332;0;5;1
9012;9002;0.07622;0.43286;0;5;1
9012;9002;0.07622;0.43286;0;5;1
9002;9021;0.0537;0.07026;0;5;1
9021;9023;1.1068;0.95278;0;5;1
9021;9022;0.44364;2.8152;0;5;1
9002;9024;0.50748;3.2202;0;5;1
9023;9025;0.66688;3.944;0;5;1
9023;9026;0.6113;3.6152;0;5;1
9007;9071;0.4412;2.9668;0;5;1
9007;9072;0.30792;2.057;0;5;1
9007;9003;0.0558;0.24666;0;5;1
9003;9031;0.73633;4.6724;0;5;1
9003;9032;0.76978;4.8846;0;5;1
9003;9033;0.75732;4.8056;0;5;1
9003;9044;0.07378;0.06352;0;5;1
9044;9004;0.03832;0.02894;0;5;1
9004;9041;0.36614;2.456;0;5;1
9004;9042;1.0593;5.4536;0;5;1
9004;9043;0.1567;1.6994;0;5;1
9003;9034;0.13006;1.3912;0;5;1
9003;9035;0.54484;3.4572;0;5;1
9003;9036;0.15426;1.6729;0;5;1
9003;9037;0.3849;2.5712;0;5;1
9003;9038;0.4412;2.9668;0;5;1
9012;9121;0.23552;0.99036;0;5;1
9053;9533;0;0.75;0;5;1
1;5;0.001;0.006;0;350;1
2;6;0.001;0.009;0;295;1
2;8;0.006;0.027;0.054;1290;1
3;7;0;0.003;0;1910;1
3;19;0.008;0.069;0.139;270;1
3;150;0.001;0.007;0;3610;1
4;16;0.002;0.019;1.127;6555;1
5;9;0.006;0.029;0.018;240;1
7;12;0.001;0.009;0.07;145;1
7;131;0.001;0.007;0.014;2685;1
8;11;0.013;0.0595;0.033;605;1
8;14;0.013;0.042;0.081;1880;1
9;11;0.006;0.027;0.013;205;1
11;13;0.008;0.034;0.018;60;1
12;21;0.002;0.015;0.118;475;1
13;20;0.006;0.034;0.016;70;1
14;15;0.014;0.042;0.097;1700;1
15;37;0.065;0.248;0.121;1625;1
15;89;0.099;0.248;0.035;430;1
15;90;0.096;0.363;0.048;650;1
16;42;0.002;0.022;1.28;6180;1
19;21;0.002;0.018;0.036;910;1
19;87;0.013;0.08;0.151;1220;1
20;22;0.016;0.033;0.015;110;1
20;27;0.069;0.186;0.098;40;1
21;24;0.004;0.034;0.28;510;1
22;23;0.052;0.111;0.05;140;1
23;25;0.019;0.039;0.018;65;1
24;319;0.007;0.068;0.134;30;1
25;26;0.036;0.071;0.034;50;1
26;27;0.045;0.12;0.065;55;1
26;320;0.043;0.13;0.014;20;1
33;34;0;0.063;0;2820;1
33;38;0.0025;0.012;0.013;1145;1
33;40;0.006;0.029;0.02;515;1
33;41;0.007;0.043;0.026;855;1
34;42;0.001;0.008;0.042;2515;1
35;72;0.012;0.06;0.008;10;1
35;76;0.006;0.014;0.002;215;1
35;77;0.01;0.029;0.003;255;1
36;88;0.004;0.027;0.043;80;1
37;38;0.008;0.047;0.008;1845;1
37;40;0.022;0.064;0.007;1505;1
37;41;0.01;0.036;0.02;1705;1
37;49;0.017;0.081;0.048;8725;1
37;89;0.102;0.254;0.033;1130;1
37;90;0.047;0.127;0.016;1215;1
38;41;0.008;0.037;0.02;750;1
38;43;0.032;0.087;0.04;1485;1
39;42;0.0006;0.0064;0.404;595;1
40;48;0.026;0.154;0.022;840;1
41;42;0;0.029;0;7865;1
41;49;0.065;0.191;0.02;4245;1
41;51;0.031;0.089;0.036;3550;1
42;46;0.002;0.014;0.806;4060;1
43;44;0.026;0.072;0.035;1350;1
43;48;0.095;0.262;0.032;25;1
43;53;0.013;0.039;0.016;190;1
44;47;0.027;0.084;0.039;530;1
44;54;0.028;0.084;0.037;1055;1
45;60;0.007;0.041;0.312;1625;1
45;74;0.009;0.054;0.411;1250;1
46;81;0.005;0.042;0.69;3100;1
47;73;0.052;0.145;0.073;515;1
47;113;0.043;0.118;0.013;5;1
48;107;0.025;0.062;0.007;825;1
49;51;0.031;0.094;0.043;4990;1
51;52;0.037;0.109;0.049;2075;1
52;55;0.027;0.08;0.036;2270;1
53;54;0.025;0.073;0.035;170;1
54;55;0.035;0.103;0.047;740;1
55;57;0.065;0.169;0.082;1275;1
57;58;0.046;0.08;0.036;860;1
57;63;0.159;0.537;0.071;205;1
58;59;0.009;0.026;0.005;970;1
59;61;0.002;0.013;0.015;980;1
60;62;0.009;0.065;0.485;1420;1
62;64;0.016;0.105;0.203;225;1
62;144;0.001;0.007;0.013;2055;1
63;526;0.0265;0.172;0.026;45;1
69;211;0.051;0.232;0.028;170;1
69;79;0.051;0.157;0.023;200;1
70;71;0.032;0.1;0.062;5;1
70;528;0.02;0.1234;0.028;25;1
